Rnodes,Rbest,Rworst,Bnodes,Bbest,Bworst,Enodes,Ebest,Eworst
,,,220,160,168,359,226,234
,,,221,159,169,360,225,235
,,,222,160,164,361,226,231
,,,223,161,165,362,227,232
,,,224,162,166,363,228,233
,,,225,163,167,364,229,234
,,,226,164,168,365,229,235
,,,227,165,167,366,230,236
,,,228,166,168,367,231,237
,,,229,169,171,368,232,237
,,,230,170,172,369,233,238
,,,231,169,173,370,234,239
,,,232,170,174,371,235,240
,,,233,171,171,372,231,241
,,,234,172,174,373,232,240
,,,235,175,175,374,233,241
,,,236,176,176,375,232,242
,,,237,177,177,376,233,242
,,,256,240,240,377,234,243
,,,257,241,241,378,234,244
,,,258,242,242,379,235,245
,,,259,243,245,380,236,246
,,,260,246,246,381,235,247
,,,261,243,247,382,236,248
,,,262,244,248,383,237,249
,,,263,245,247,384,238,250
,,,264,246,248,385,239,249
,,,265,249,251,386,240,250
,,,266,250,252,387,241,251
,,,267,249,253,388,242,251
,,,268,250,254,389,243,252
,,,269,251,255,390,239,253
,,,270,252,256,391,240,252
,,,271,253,257,392,241,253
,,,272,248,258,393,240,254
,,,273,249,257,394,241,250
,,,274,250,258,395,242,251
,,,275,251,261,396,242,252
,,,276,254,262,397,243,253
,,,277,251,263,398,244,254
,,,278,252,264,399,243,255
,,,279,253,261,400,244,256
,,,280,254,264,401,245,255
,,,281,257,265,402,246,256
,,,282,258,266,403,247,257
,,,283,257,267,404,248,257
,,,284,258,264,405,249,258
,,,285,259,265,406,245,259
,,,286,260,266,407,246,258
,,,287,261,265,408,247,259
,,,288,262,266,409,246,260
,,,289,263,269,410,247,256
,,,290,264,270,411,248,257
,,,291,267,271,412,248,258
,,,292,268,272,413,249,259
,,,293,267,273,414,250,260
,,,294,268,274,415,249,261
,,,295,269,275,416,250,262
,,,296,266,276,417,251,263
,,,297,267,276,418,252,264
,,,298,268,277,419,253,263
,,,299,269,279,420,254,264
,,,300,272,280,421,255,265
,,,301,269,281,422,256,265
,,,302,270,282,423,257,266
,,,303,271,282,424,257,267
,,,304,272,283,425,258,266
,,,305,275,284,426,259,267
,,,306,276,285,427,258,268
,,,307,275,286,428,259,264
,,,308,276,287,429,260,265
,,,309,277,286,430,261,266
,,,310,278,287,431,262,267
,,,311,279,290,432,262,268
,,,312,280,291,433,263,269
,,,313,280,292,434,264,270
,,,314,281,293,435,265,270
,,,315,282,290,436,266,271
,,,316,283,293,437,267,272
,,,317,285,294,438,268,273
,,,318,286,295,439,264,274
,,,319,286,296,440,265,273
,,,320,287,293,441,266,274
,,,321,288,294,442,265,275
,,,322,289,295,443,266,275
,,,323,290,294,444,267,276
,,,324,291,295,445,267,277
,,,325,292,298,446,268,278
,,,326,293,299,447,269,279
,,,327,296,300,448,268,280
,,,328,297,301,449,269,281
,,,329,296,302,450,270,282
,,,330,297,303,451,271,283
,,,331,298,304,452,272,282
,,,332,295,305,453,273,283
,,,333,296,304,454,274,284
,,,334,297,305,455,275,284
,,,335,298,308,456,276,285
,,,336,301,309,457,276,286
,,,337,298,310,458,277,285
,,,338,299,311,459,278,286
,,,339,300,308,460,277,287
,,,340,301,311,461,278,283
,,,341,304,312,462,279,284
,,,342,305,313,463,280,285
,,,343,304,314,464,281,286
,,,344,305,309,465,282,287
,,,345,306,310,466,283,288
,,,346,307,311,467,284,289
,,,347,308,312,468,287,288
,,,348,309,313,469,286,289
,,,349,310,312,470,287,290
,,,350,311,313,471,288,290
,,,351,314,316,472,289,291
,,,352,315,317,473,290,292
,,,353,314,318,474,291,291
,,,354,315,319,475,292,292
,,,355,316,316,476,293,293
,,,356,317,319,1135,135,135
,,,357,320,320,1136,136,136
,,,358,321,321,1137,137,137
,,,359,322,322,1138,136,138
,,,390,335,335,1139,137,139
,,,391,336,336,1140,138,140
,,,392,337,337,1141,138,141
,,,393,338,340,1142,139,142
,,,394,341,341,1143,140,141
,,,395,338,342,1144,139,144
,,,396,339,343,1145,140,145
,,,397,340,342,1146,141,146
,,,398,341,343,1147,142,147
,,,399,344,346,1148,143,148
,,,400,345,347,1149,144,149
,,,401,344,348,1150,145,150
,,,402,345,349,1151,141,151
,,,403,346,350,1152,142,150
,,,404,347,351,1153,143,151
,,,405,348,352,1154,142,152
,,,406,343,353,1155,143,152
,,,407,344,352,1156,144,153
,,,408,345,353,1157,144,154
,,,409,346,356,1158,145,155
,,,410,349,357,1159,146,156
,,,411,346,358,1160,145,157
,,,412,347,359,1161,146,158
,,,413,348,356,1162,147,159
,,,414,349,359,1163,148,160
,,,415,352,360,1164,149,159
,,,416,353,361,1165,150,160
,,,417,352,362,1166,151,161
,,,418,353,359,1167,152,161
,,,419,354,360,1168,153,162
,,,420,355,361,1169,153,163
,,,421,356,360,1170,154,162
,,,422,357,361,1171,155,163
,,,423,358,364,1172,154,164
,,,424,359,365,1173,155,160
,,,425,362,366,1174,156,161
,,,426,363,367,1175,157,162
,,,427,362,368,1176,158,163
,,,428,363,369,1177,158,164
,,,429,364,370,1178,159,165
,,,430,361,371,1179,160,166
,,,431,362,371,1180,161,166
,,,432,363,372,1181,162,167
,,,433,364,374,1182,163,168
,,,434,367,375,1183,164,169
,,,435,364,376,1184,160,170
,,,436,365,377,1185,161,169
,,,437,366,377,1186,162,170
,,,438,367,378,1187,161,171
,,,439,370,379,1188,162,171
,,,440,371,380,1189,163,172
,,,441,370,381,1190,163,173
,,,442,371,382,1191,164,174
,,,443,372,381,1192,165,175
,,,444,373,382,1193,164,176
,,,445,374,385,1194,165,177
,,,446,375,386,1195,166,178
,,,447,375,387,1196,167,179
,,,448,376,388,1197,168,178
,,,449,377,385,1198,169,179
,,,450,378,388,1199,170,180
,,,451,380,389,1200,171,180
,,,452,381,390,1201,172,181
,,,453,381,391,1202,168,182
,,,454,382,388,1203,169,181
,,,455,383,389,1204,170,182
,,,456,384,390,1205,169,183
,,,457,385,389,1206,170,179
,,,458,386,390,1207,171,180
,,,459,387,393,1208,171,181
,,,460,388,394,1209,172,182
,,,461,391,395,1210,173,183
,,,462,392,396,1211,172,184
,,,463,391,397,1212,173,185
,,,464,392,398,1213,174,184
,,,465,393,399,1214,175,185
,,,466,390,400,1215,176,186
,,,467,391,399,1216,177,186
,,,468,392,400,1217,178,187
,,,469,393,403,1218,174,188
,,,470,396,404,1219,175,187
,,,471,393,405,1220,176,188
,,,472,394,406,1221,175,189
,,,473,395,403,1222,176,185
,,,474,396,406,1223,177,186
,,,475,399,407,1224,177,187
,,,476,400,408,1225,178,188
,,,477,399,409,1226,179,189
,,,478,400,404,1227,178,190
,,,479,401,405,1228,179,191
,,,480,402,406,1229,180,192
,,,481,403,407,1230,181,193
,,,482,404,408,1231,182,192
,,,483,405,407,1232,183,193
,,,484,406,408,1233,184,194
,,,485,409,411,1234,185,194
,,,486,410,412,1235,186,195
,,,487,409,413,1236,186,196
,,,488,410,414,1237,187,195
,,,489,411,411,1238,188,196
,,,490,412,414,1239,187,197
,,,491,415,415,1240,188,193
,,,492,416,416,1241,189,194
,,,493,417,417,1242,190,195
,,,501,160,160,1243,191,196
,,,502,161,161,1244,191,197
,,,503,162,162,1245,192,198
,,,504,163,165,1246,193,199
,,,505,166,166,1247,194,199
,,,506,163,167,1248,195,200
,,,507,164,168,1249,196,201
,,,508,165,167,1250,197,202
,,,509,166,168,1251,193,203
,,,510,169,171,1252,194,202
,,,511,170,172,1253,195,203
,,,512,169,173,1254,194,204
,,,513,170,174,1255,195,204
,,,514,171,175,1256,196,205
,,,515,172,176,1257,196,206
,,,516,173,177,1258,197,207
,,,517,168,178,1259,198,208
,,,518,169,177,1260,197,209
,,,519,170,178,1261,198,210
,,,520,171,181,1262,199,211
,,,521,174,182,1263,200,212
,,,522,171,183,1264,201,211
,,,523,172,184,1265,202,212
,,,524,173,181,1266,203,213
,,,525,174,184,1267,204,213
,,,526,177,185,1268,205,214
,,,527,178,186,1269,205,215
,,,528,177,187,1270,206,214
,,,529,178,184,1271,207,215
,,,530,179,185,1272,206,216
,,,531,180,186,1273,207,212
,,,532,181,185,1274,208,213
,,,533,182,186,1275,209,214
,,,534,183,189,1276,210,215
,,,535,184,190,1277,211,216
,,,536,187,191,1278,212,217
,,,537,188,192,1279,213,218
,,,538,187,193,1280,216,217
,,,539,188,194,1281,215,218
,,,540,189,195,1282,216,219
,,,541,186,196,1283,217,219
,,,542,187,196,1284,218,220
,,,543,188,197,1285,219,221
,,,544,189,199,1286,220,220
,,,545,192,200,1287,221,221
,,,546,189,201,1288,222,222
,,,547,190,202,1458,341,341
,,,548,191,202,1459,342,342
,,,549,192,203,1460,343,343
,,,550,195,204,1461,342,344
,,,551,196,205,1462,343,345
,,,552,195,206,1463,344,346
,,,553,196,207,1464,344,347
,,,554,197,206,1465,345,348
,,,555,198,207,1466,346,347
,,,556,199,210,1467,345,350
,,,557,200,211,1468,346,351
,,,558,200,212,1469,347,352
,,,559,201,213,1470,348,353
,,,560,202,210,1471,349,354
,,,561,203,213,1472,350,355
,,,562,205,214,1473,351,356
,,,563,206,215,1474,347,357
,,,564,206,216,1475,348,356
,,,565,207,213,1476,349,357
,,,566,208,214,1477,348,358
,,,567,209,215,1478,349,358
,,,568,210,214,1479,350,359
,,,569,211,215,1480,350,360
,,,570,212,218,1481,351,361
,,,571,213,219,1482,352,362
,,,572,216,220,1483,351,363
,,,573,217,221,1484,352,364
