1,1
2,1
3,2
4,3
5,4
6,4
7,5
9,7
10,8
11,8
12,7
13,8
14,8
15,9
16,10
17,11
18,11
19,12
21,14
22,15
23,15
24,16
25,17
26,18
27,18
28,19
30,28
31,29
32,29
33,30
34,31
35,32
36,32
37,33
39,35
40,36
41,36
42,35
43,36
44,36
45,37
46,38
47,39
48,39
49,40
51,42
52,43
53,43
54,44
55,45
56,46
57,46
58,47
253,80
254,81
255,81
256,82
257,83
258,84
259,84
260,85
262,87
263,88
264,88
265,87
266,88
267,88
268,89
269,90
270,91
271,91
272,92
274,94
275,95
276,95
277,96
278,97
279,98
280,98
281,99
283,108
284,109
285,109
286,110
287,111
288,112
289,112
290,113
292,115
293,116
294,116
295,115
296,116
297,116
298,117
299,118
300,119
301,119
302,120
304,122
305,123
306,123
307,124
308,125
309,126
310,126
