Node	Protocol_Version	User_Agent	Connected_Since	Services	Height	Hostname	City	Country_Code	Latitude	Longitude	Timezone	ASN	Timestamp	Latest_Height	Total_Nodes	Organization
149.202.50.207:8333	70015	/Satoshi:0.18.0/	1569819252	1037	598176	207.ip-149-202-50.eu	null	FR	48.8582	2.3387	Europe/Paris	AS16276	1570389919	598176	9408	"OVH SAS"
95.213.145.52:8333	70015	/Satoshi:0.18.0/	1569819252	1037	598176	95.213.145.52	Moscow	RU	55.7527	37.6172	Europe/Moscow	AS49505	1570389919	598176	9408	"OOO Network of data-centers Selectel"
34.194.208.92:8333	70015	/Satoshi:0.15.1/	1569943645	8	598140	ec2-34-194-208-92.compute-1.amazonaws.com	Ashburn	US	39.0481	-77.4728	America/New_York	AS14618	1570389919	598176	9408	"Amazon.com, Inc."
167.71.218.176:8333	70015	/Satoshi:0.13.2/	1569819252	13	598176	167.71.218.176	null	SG	1.314	103.6839	Asia/Singapore	AS14061	1570389919	598176	9408	"DigitalOcean, LLC"
3g5s4nanw2lfbp2o.onion:8333	70015	/Satoshi:0.17.1/	1570348304	1037	598176	null	null	null	0	0	null	TOR	1570389919	598176	9408	"Tor network"
13.233.82.105:8333	70015	/Satoshi:0.14.99/	1569860860	12	598175	ec2-13-233-82-105.ap-south-1.compute.amazonaws.com	Mumbai	IN	19.0728	72.8826	Asia/Kolkata	AS16509	1570389919	598176	9408	"Amazon.com, Inc."
[2602:61:78d3:e300::1]:8333	70015	/Satoshi:0.18.0/	1570015299	1037	598176	2602:61:78d3:e300::1	Vancouver	US	45.6418	-122.6801	America/Los_Angeles	AS209	1570389919	598176	9408	"CenturyLink Communications, LLC"
70.119.147.157:8333	70015	/Satoshi:0.18.0/	1570316911	1037	598176	cpe-70-119-147-157.tx.res.rr.com	Carrollton	US	33.0036	-96.8834	America/Chicago	AS11427	1570389919	598176	9408	"Charter Communications Inc"
90.203.20.62:8333	70015	/Satoshi:0.18.0/	1570382444	1037	598176	5acb143e.bb.sky.com	East Kilbride	GB	55.7667	-4.1667	Europe/London	AS5607	1570389919	598176	9408	"Sky UK Limited"
[2001:41d0:1004:395b::]:8333	70015	/Satoshi:0.18.1/	1569819252	1036	598176	2001:41d0:1004:395b::	null	FR	46	2	Europe/Paris	AS16276	1570389919	598176	9408	"OVH SAS"
51.77.152.160:8333	70015	/Satoshi:0.18.0/	1569819561	1037	598176	ns3139143.ip-51-77-152.eu	null	FR	48.8582	2.3387	Europe/Paris	AS16276	1570389919	598176	9408	"OVH SAS"
45.36.184.6:8333	70015	/Satoshi:0.18.1/	1570245109	1037	598176	cpe-45-36-184-6.triad.res.rr.com	Lexington	US	35.8684	-80.315	America/New_York	AS11426	1570389919	598176	9408	"Charter Communications Inc"
100.25.60.57:8333	70015	/Satoshi:0.14.99/	1569874683	12	598176	ec2-100-25-60-57.compute-1.amazonaws.com	Ashburn	US	39.0481	-77.4728	America/New_York	AS14618	1570389919	598176	9408	"Amazon.com, Inc."
188.112.145.230:8333	70015	/Satoshi:0.18.0/	1569853340	1037	0	r230-145-112-188-broadband.btv.lv	Riga	LV	56.9496	24.0978	Europe/Riga	AS20910	1570389919	598176	9408	"SIA Baltcom"
83.89.27.50:8333	70015	/Satoshi:0.17.0.1/	1570229720	1037	598176	83-89-27-50-cable.dk.customer.tdc.net	Faxe Ladeplads	DK	55.3261	12.2212	Europe/Copenhagen	AS3292	1570389919	598176	9408	"Tele Danmark"
209.133.214.166:8333	70015	/Satoshi:0.13.2/	1569868659	13	598176	209-133-214-166.static.hvvc.us	Tampa	US	28.0109	-82.4948	America/New_York	AS29802	1570389919	598176	9408	"HIVELOCITY, Inc."
52.73.147.181:8333	70015	/Satoshi:0.16.1/	1569819252	1037	598176	ec2-52-73-147-181.compute-1.amazonaws.com	Ashburn	US	39.0481	-77.4728	America/New_York	AS14618	1570389919	598176	9408	"Amazon.com, Inc."
75.163.230.38:8333	70015	/Satoshi:0.18.0/	1570388971	1037	598176	75-163-230-38.clsp.qwest.net	Colorado Springs	US	38.8388	-104.8145	America/Denver	AS209	1570389919	598176	9408	"CenturyLink Communications, LLC"
80.211.191.11:8333	70015	/Satoshi:0.18.0/	1569819252	1036	598176	host11-191-211-80.serverdedicati.aruba.it	Arezzo	IT	43.4631	11.8783	Europe/Rome	AS31034	1570389919	598176	9408	"Aruba S.p.A."
[2a01:4f8:c010:285e::1]:8333	70015	/Satoshi:0.18.0/	1570389892	1037	598176	2a01:4f8:c010:285e::1	null	DE	51	9	Europe/Berlin	AS24940	1570389919	598176	9408	"Hetzner Online GmbH"
193.106.28.8:8333	70015	/Satoshi:0.18.1/	1570300010	1037	598176	193.106.28.8	null	UA	50.45	30.5233	Europe/Kiev	AS50297	1570389919	598176	9408	"Infium, UAB"
95.216.12.243:8333	70015	/Satoshi:0.15.0(bitcore)/	1569819252	13	598176	static.243.12.216.95.clients.your-server.de	null	FI	60.1708	24.9375	Europe/Helsinki	AS24940	1570389919	598176	9408	"Hetzner Online GmbH"
208.167.255.165:8333	70015	/Satoshi:0.18.0/	1569819252	1036	598176	208.167.255.165.vultr.com	Piscataway	US	40.5511	-74.4606	America/New_York	AS20473	1570389919	598176	9408	"Choopa, LLC"
47.74.248.83:8333	70015	/Satoshi:0.18.0/	1569819252	1037	598176	47.74.248.83	Singapore	SG	1.2929	103.8547	Asia/Singapore	AS45102	1570389919	598176	9408	"Alibaba (US) Technology Co., Ltd."
185.102.71.6:8333	70015	/Satoshi:0.17.1/	1569819252	1037	598176	185.102.71.6	null	NL	52.3824	4.8995	Europe/Amsterdam	AS58291	1570389919	598176	9408	"ColoCenter b.v."
34.216.162.155:8333	70015	/Satoshi:0.17.1/	1570388510	1037	598176	ec2-34-216-162-155.us-west-2.compute.amazonaws.com	Boardman	US	45.8491	-119.7143	America/Los_Angeles	AS16509	1570389919	598176	9408	"Amazon.com, Inc."
54.38.236.24:8333	70015	/Satoshi:0.16.3/	1569819252	1037	598176	ip24.ip-54-38-236.eu	null	FR	48.8582	2.3387	Europe/Paris	AS16276	1570389919	598176	9408	"OVH SAS"
34.85.9.127:8333	70015	/Bitcoin ABC:0.15.1(EB8.0)/	1569819252	37	593054	127.9.85.34.bc.googleusercontent.com	null	US	37.751	-97.822	America/Chicago	AS15169	1570389919	598176	9408	"Google LLC"
82.64.60.174:8333	70015	/Satoshi:0.18.1/	1570386797	1037	598176	82-64-60-174.subs.proxad.net	Eragny	FR	49.0167	2.1	Europe/Paris	AS12322	1570389919	598176	9408	"Free SAS"
77.161.203.90:8333	70015	/Satoshi:0.18.1/	1570389662	1037	598176	ip4da1cb5a.direct-adsl.nl	Amsterdam	NL	52.3742	4.8218	Europe/Amsterdam	AS1136	1570389919	598176	9408	"KPN B.V."
62.178.105.15:8333	70015	/Satoshi:0.18.0/	1570371620	1037	598176	62-178-105-15.cable.dynamic.surfer.at	Vienna	AT	48.1952	16.3503	Europe/Vienna	AS6830	1570389919	598176	9408	"Liberty Global B.V."
91.194.90.89:8333	70015	/Satoshi:0.17.1/	1569819841	1037	598176	vmi239513.contaboserver.net	Munich	DE	48.1089	11.6074	Europe/Berlin	AS51167	1570389919	598176	9408	"Contabo GmbH"
13.228.53.43:8333	70015	/Satoshi:0.16.1/	1569819252	1036	598176	ec2-13-228-53-43.ap-southeast-1.compute.amazonaws.com	Singapore	SG	1.2929	103.8547	Asia/Singapore	AS16509	1570389919	598176	9408	"Amazon.com, Inc."
175.126.168.75:8333	70015	/Satoshi:0.18.1/	1570087919	1037	598176	175.126.168.75	Seoul	KR	37.5985	126.9783	Asia/Seoul	AS9318	1570389919	598176	9408	"SK Broadband Co Ltd"
89.154.95.56:8333	70015	/Satoshi:0.17.1/	1570056434	1037	598176	a89-154-95-56.cpe.netcabo.pt	Guimarães	PT	41.4444	-8.2962	Europe/Lisbon	AS2860	1570389919	598176	9408	"Nos Comunicacoes, S.A."
93.105.187.121:8333	70015	/Satoshi:0.18.0/	1570359109	1037	598157	093105187121.warszawa.vectranet.pl	Warsaw	PL	52.1615	21.0723	Europe/Warsaw	AS29314	1570389919	598176	9408	"Vectra S.A."
67.248.69.55:8333	70015	/Satoshi:0.18.1/	1570389892	1036	598176	cpe-67-248-69-55.nycap.res.rr.com	Albany	US	42.7198	-73.8207	America/New_York	AS11351	1570389919	598176	9408	"Charter Communications Inc"
47.254.73.32:8333	70015	/Satoshi:0.18.0/	1569819252	1036	598176	47.254.73.32	Portland	US	45.5245	-122.6692	America/Los_Angeles	AS45102	1570389919	598176	9408	"Alibaba (US) Technology Co., Ltd."
217.160.185.97:8333	70015	/Satoshi:0.18.0/	1569819252	1037	598176	s21340657.onlinehome-server.info	null	DE	51.2993	9.491	Europe/Berlin	AS8560	1570389919	598176	9408	"1&1 Internet SE"
176.38.7.43:8333	70015	/Satoshi:0.17.0/	1569819252	1037	598176	host-176-38-7-43.la.net.ua	Kyiv	UA	50.4547	30.5238	Europe/Kiev	AS39608	1570389919	598176	9408	"Lanet Network Ltd"
[2a01:4f8:151:2405::2]:8333	70015	/Satoshi:0.15.0.1/	1569819252	13	598176	2a01:4f8:151:2405::2	Heidelberg	DE	49.4071	8.6879	Europe/Berlin	AS24940	1570389919	598176	9408	"Hetzner Online GmbH"
87.177.56.44:8333	70015	/Satoshi:0.18.1/	1570318597	1037	598176	p57B1382C.dip0.t-ipconnect.de	Darmstadt	DE	49.8972	8.6809	Europe/Berlin	AS3320	1570389919	598176	9408	"Deutsche Telekom AG"
5.102.147.55:8333	70015	/Satoshi:0.18.0/	1569819252	1037	598176	5-102-147-55.cust.cloudscale.ch	Seuzach Dorf	CH	47.5356	8.7321	Europe/Zurich	AS59414	1570389919	598176	9408	"cloudscale.ch AG"
73.225.205.199:8333	70015	/Satoshi:0.18.0/	1569819252	1037	598176	c-73-225-205-199.hsd1.wa.comcast.net	Olympia	US	47.1101	-122.775	America/Los_Angeles	AS7922	1570389919	598176	9408	"Comcast Cable Communications, LLC"
185.130.215.73:8333	70015	/Satoshi:0.18.0/	1570352625	1036	598176	185.130.215.73	null	RU	55.7386	37.6068	Europe/Moscow	AS49335	1570389919	598176	9408	"LLC Server v arendy"
206.189.103.187:8333	70015	/Satoshi:0.18.0/	1569887148	1037	598158	206.189.103.187	Amsterdam	NL	52.352	4.9392	Europe/Amsterdam	AS14061	1570389919	598176	9408	"DigitalOcean, LLC"
193.106.160.20:8333	70015	/Satoshi:0.18.1/	1570369238	1037	598176	193.106.160.20	Moscow	RU	55.7527	37.6172	Europe/Moscow	AS43936	1570389919	598176	9408	"PE Zinstein Hariton Vladimirovich"
5.9.147.147:8333	70015	/Satoshi:0.17.0.1/	1569819252	1037	598176	static.147.147.9.5.clients.your-server.de	null	DE	51.2993	9.491	Europe/Berlin	AS24940	1570389919	598176	9408	"Hetzner Online GmbH"
185.19.29.110:8333	70015	/Satoshi:0.17.1/	1569821505	1037	598176	xc-btc-000.gva2.closermoon.net	null	CH	47.1449	8.1551	Europe/Zurich	AS61098	1570389919	598176	9408	"Akenes SA"
18.218.226.80:8333	70015	/Satoshi:0.14.99/	1569819351	12	598172	ec2-18-218-226-80.us-east-2.compute.amazonaws.com	Columbus	US	39.9653	-83.0235	America/New_York	AS16509	1570389919	598176	9408	"Amazon.com, Inc."
